Word,pos,readability,lemma,diac
خَيْر,noun,1,خَيْر_1,خَيْرٍ
عَقْد,noun,3,عَقْد_1,عَقْدٍ
مَضَى,verb,4,مَضَى-ِ_1,مَضَى
عاش,verb,1,عاش_1,عاشَ
قَرِيب,adj,1,قَرِيب_1,قَرِيبٌ
لِماذا,adv_interrog,1,لِماذا_1,لِماذا
وَسَط,noun,1,وَسَط_1,وَسَطَ
شابّ,noun,1,شابّ_1,شابٍّ
حادِث,noun,2,حادِث_1,حادِثِ
قِيمَة,noun,2,قِيمَة_1,قِيمَةِ
شَكّ,noun,3,شَكّ_1,شَكِّ
ثَوْب,noun,1,ثَوْب_1,ثَوْبَ
بَيْنَما,conj_sub,2,بَيْنَما_1,بَيْنَما
دُكْتُور,noun,1,دُكْتُور_1,دُكْتُورٌ
قُرْب,noun,2,قُرْب_1,قُرْبَ
حَصَل,verb,1,حَصَل-ُ_1,حَصَلَ
عَشَر,noun_num,2,عَشْر_1,عَشْرَ
جِهاز,noun,1,جِهاز_1,جِهازِ
رِئاسَة,noun,2,رِئاسَة_1,رِئاسَةِ
صَدْر,noun,1,صَدَر-ُ_1,صَدَرَ
أَطْلَق,verb,2,أَطْلَق_1,أَطْلَقَ
نَظْرَة,noun,2,نَظْرَة_1,نَظْرَةُ
نار,noun,1,نار_1,نارٍ
مَنْ,pron_rel,2,مِن_1,مِن
عَنَى,verb,3,عَن_1,عَنِّي
ٱِعْتَقَد,verb,2,ٱِعْتَقَد_1,أَعْتَقِدُ
أَدْرَك,verb,3,أَدْرَك_1,أَدْرَكَ
دُخُول,noun,1,دُخُول_1,دُخُولُ
مَساء,noun,1,مَساء_1,مَساءَ
ظَلّ,verb,3,ظِلّ_1,ظِلِّ
وَجَّه,verb,4,وَجْه_1,وَجْهِ
عَوْدَة,noun,2,عَوْدَة_1,عَوْدَةِ
طَبِيب,noun,1,طَبِيب_1,طَبِيبٍ
نِساء,noun,1,نِساء_1,نِساءِ
لاعِب,noun,1,لاعِب_1,لاعِبِ
إِطْلاق,noun,4,إِطْلاق_1,إِطْلاقِ
مَحْكَمَة,noun,2,مَحْكَمَة_1,مَحْكَمَةٍ
فَقَط,adv,2,فَقَط_1,فَقَط
عاصِمَة,noun,3,عاصِمَة_1,عاصِمَةِ
إِذْن,noun,1,إِذْن_1,إِذْنٍ
تَعْلِيم,noun,1,تَعْلِيم_1,تَعْلِيمِ
